D C E C C C P Q F XXX NA NA C D dr
B B A B B B R XXX F XXX NA NA C B dr
A B A A A A R R F XXX NA NA B A dr
A B A A A A N XXX F XXX NA NA B A dr
A B A A A A O XXX F XXX NA NA B A dr
A B A A A A O XXX F XXX NA NA B A dr
B C B B B B R H F XXX NA NA B A dr
B C C B C B D H F XXX NA NA B A dr
B C B B B B P XXX F XXX NA NA B A dr
B B B B B B M R F XXX NA NA B A dr
B B B B B B R P F XXX NA NA B A dr
B B A B B B O XXX F XXX NA NA B A dr
B C B B B B Q XXX F XXX NA NA B A dr
B B B B B B G XXX F XXX NA NA B A dr
B B A B B B P XXX F XXX NA NA B A dr
B B A B B B R O F XXX NA NA B A dr
A B A A A A R XXX F XXX NA NA B A dr
A B A A A A R R F XXX NA NA B A dr
A B A A A A R XXX F XXX NA NA B A dr
A B A A A A R J F XXX NA NA B A dr
C C C C C B R K F XXX NA NA B A dr
C C C C D C P XXX F XXX NA NA B A dr
B C B B C B J M F XXX NA NA B A dr
B B A B B B M XXX F XXX NA NA B A dr
B B A A B B M XXX F XXX NA NA B A dr
B B A B B B P XXX F XXX NA NA B A dr
A B A A A A R O F XXX NA NA B A dr
B B A A B B G XXX F XXX NA NA B A dr
A B A A A A R O F XXX NA NA B A dr
B B A A B B M XXX F XXX NA NA B A dr
A B A A A A R R F XXX NA NA B A dr
A B A A A A R P F XXX NA NA B A dr
A B A A A A R M F XXX NA NA B A dr
A B A A A A R XXX F XXX NA NA B A dr
A B A A A A R R F XXX NA NA B A dr
B C B B B B I XXX F XXX NA NA B A dr
B C C C C B J N F XXX NA NA B A dr
