avg_speed,max_speed,avg_top3_speed,var_speed,top_acce,var_acce,avg_top3_acce,avg_acce,tm,d_avg_speed,d_max_speed,d_avg_top3_speed,d_var_speed,d_top_acce,d_var_acce,d_avg_top3_acce,d_avg_acce,d_tm,d_d_avg_speed,d_d_max_speed,d_d_avg_top3_speed,d_d_var_speed,d_d_top_acce,d_d_var_acce,d_d_avg_top3_acce,d_d_avg_acce
11.538153630390356,54.752102335224585,30.830751115801643,46.46634931755613,5.737922059075575,22.524165727353395,3.673204306739264,-0.8032018030437651,car,4,6,6,6,6,6,5,1,2,4,6,6,6,6,6,5,1
7.706204057813751,16.44314926011654,14.541437301958403,7.974436398187544,4.879424700877381,2.580380170893255,3.6116503335003443,0.038850542311890564,car,3,3,3,3,5,5,5,6,2,3,3,3,3,5,5,5,6
15.391268984107901,28.559408434107176,25.84101762731144,15.343338744488932,10.731274687029394,9.000715034246973,9.211270618392147,-0.06254260248636548,car,5,6,6,4,6,6,6,3,2,5,6,6,4,6,6,6,3
14.444493191082886,24.677293186032657,21.270533625831856,25.97673299526854,6.4538550848179135,3.9178035022482693,4.735724521128922,-0.21642062043790777,car,5,5,5,5,6,6,6,1,2,5,5,5,5,6,6,6,1
5.307677439391399,7.018590765003892,6.559882647922329,1.374236873290824,1.15710444920457,0.17706473327419361,0.4687184327541833,0.04785527172667883,car,2,2,2,2,2,1,1,6,2,2,2,2,2,2,1,1,6
4.651057947544164,12.223762481750832,10.79507727282828,9.897790080772047,3.8444232959457025,2.8044006423448877,2.3800788168209794,-0.2706971375303141,car,2,2,2,3,4,5,3,1,2,2,2,2,3,4,5,3,1
16.51645963061368,20.673961294082005,20.67389210599706,12.906775068029845,3.8428147755348743,2.0342446296339682,3.082493545167877,0.10642533422245293,car,5,5,5,4,4,4,4,6,2,5,5,5,4,4,4,4,6
13.723858363832138,18.223492238901322,18.189503821815787,19.199766634985927,2.6027525802279623,1.8057813536669367,2.2671027617859694,-0.2838430891211966,car,5,4,4,5,3,4,3,1,2,5,4,4,5,3,4,3,1
7.085528309955092,17.424587316545256,15.745808309343074,41.682044205751424,0.7742250222376099,0.23262507677983246,0.6136092090886487,0.0914761496469867,car,3,4,3,6,1,1,1,6,2,3,4,3,6,1,1,1,6
7.713151440427866,15.234335537772637,14.88494571333617,28.962270133207237,0.9306377152163069,0.27687372125596976,0.5318124079271496,-0.15002185704997964,car,3,3,3,6,1,1,1,2,2,3,3,3,6,1,1,1,2
